Time/Residue,AFR5_R1.xvg,RoG_md_A4482_R2.xvg
8.69,2.30053,2.30042
8.7,2.3052,2.29806
8.71,2.31033,2.30003
8.72,2.31234,2.30385
8.73,2.30929,2.3116
8.74,2.31326,2.29276
8.75,2.30641,2.30491
8.76,2.30194,2.29997
8.77,2.30247,2.3091
8.78,2.30728,2.30532
8.79,2.31079,2.29676
8.8,2.3146,2.29998
8.81,2.30957,2.29563
8.82,2.31857,2.29672
8.83,2.31669,2.30361
8.84,2.30759,2.29974
8.85,2.30892,2.29775
8.86,2.30738,2.30935
8.87,2.3045,2.29456
8.88,2.30263,2.30681
8.89,2.31279,2.2994
8.9,2.30343,2.29862
8.91,2.30516,2.29545
8.92,2.30972,2.31041
8.93,2.30806,2.30478
8.94,2.30486,2.30443
8.95,2.30493,2.3036
8.96,2.30303,2.29407
8.97,2.30681,2.30488
8.98,2.29805,2.29501
8.99,2.30307,2.3062
9.0,2.30477,2.29086
9.01,2.3039,2.29021
9.02,2.31407,2.29556
9.03,2.30486,2.29198
9.04,2.29767,2.29402
9.05,2.30429,2.29764
9.06,2.29646,2.28745
9.07,2.3074,2.29045
9.08,2.29973,2.29658
9.09,2.3081,2.28822
9.1,2.29758,2.2987
9.11,2.30044,2.3023
9.12,2.3076,2.30295
9.13,2.3092,2.30094
9.14,2.31551,2.2986
9.15,2.30836,2.29826
9.16,2.31297,2.30644
9.17,2.31563,2.30209
9.18,2.31372,2.29998
9.19,2.30336,2.29931
9.2,2.31403,2.29272
9.21,2.30553,2.30627
9.22,2.30841,2.29917
9.23,2.30862,2.29692
9.24,2.30293,2.29304
9.25,2.30816,2.2981
9.26,2.29922,2.30313
9.27,2.29657,2.29658
9.28,2.30148,2.29852
9.29,2.30428,2.30061
9.3,2.29778,2.3031
9.31,2.30261,2.30023
9.32,2.30364,2.29252
9.33,2.31036,2.29083
9.34,2.30681,2.28471
9.35,2.29886,2.28903
9.36,2.30484,2.29499
9.37,2.29771,2.29109
9.38,2.30029,2.28798
9.39,2.30603,2.29871
9.4,2.30039,2.29824
9.41,2.30315,2.29379
9.42,2.31017,2.28597
9.43,2.30583,2.28434
9.44,2.30836,2.29244
9.45,2.3172,2.29502
9.46,2.31642,2.29582
9.47,2.30996,2.2968
9.48,2.31351,2.29222
9.49,2.3106,2.29079
9.5,2.31026,2.28761
9.51,2.30208,2.28458
9.52,2.3081,2.29293
9.53,2.30736,2.28891
9.54,2.3115,2.29096
9.55,2.30725,2.29159
9.56,2.31461,2.29216
9.57,2.30986,2.29332
9.58,2.3108,2.29304
9.59,2.31031,2.29871
9.6,2.30171,2.29064
9.61,2.30072,2.29162
9.62,2.30121,2.28969
9.63,2.29963,2.28782
9.64,2.29954,2.28763
9.65,2.30382,2.28743
9.66,2.30497,2.28609
9.67,2.3042,2.29127
9.68,2.30711,2.28612
9.69,2.30883,2.29082
9.7,2.31082,2.28567
9.71,2.30789,2.28382
9.72,2.30823,2.27454
9.73,2.30765,2.28285
9.74,2.30545,2.28713
9.75,2.31131,2.28849
9.76,2.3077,2.28244
9.77,2.30689,2.28273
9.78,2.31084,2.279
9.79,2.31168,2.28468
9.8,2.31073,2.28304
9.81,2.31305,2.29062
9.82,2.3111,2.28985
9.83,2.30938,2.2938
9.84,2.31017,2.2938
9.85,2.31035,2.29896
9.86,2.31104,2.29738
9.87,2.31284,2.28627
