FOLDER,LIGAND_ENTRY,TOTAL_SCORE,smiles
file15,A4677_entry_00281_conf_01,-112.802,CN(CC#CCOC(C)(C)C)Cc1cccc2ccccc12
file3,A856_entry_00228_conf_01,-112.738,CCN(CC)C[C@H](C)Cc1ccc(C[C@@H](C)CN2C[C@@H](C)O[C@@H](C)C2)cc1
file11,A3171_entry_00031_conf_01,-112.716,CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1
file18,A5577_entry_00239_conf_01,-112.705,CC(=O)N1CCC(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1
file16,A4714_entry_00004_conf_01,-112.694,COC(=O)C/C=C/CN(C)Cc1cccc2ccccc12
file3,A790_entry_00162_conf_01,-112.659,CCC(C)(C)c1ccc(CCCN2C[C@@H](C)O[C@@H](C)C2)c(C)c1
file6,A1605_entry_00035_conf_01,-112.608,CCCN(CCC)CCOC(=O)c1cccc2ccccc12
file15,A4645_entry_00249_conf_01,-112.597,OC(c1ccccc1)(c1ccccc1)c1cncn1Cc1ccc(Cl)cc1
file11,A3362_entry_00222_conf_01,-112.596,Fc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccccc2)cc1
file11,A3366_entry_00226_conf_01,-112.589,Clc1ccc(CC[C@H](Cn2ccnc2)OCc2ccccc2)cc1
file11,A3252_entry_00112_conf_01,-112.582,CN(Cc1cccc(F)c1F)Cc1cccc2ccccc12
file11,A3199_entry_00059_conf_01,-112.574,CN(Cc1ncccc1C(F)(F)F)Cc1cccc2ccccc12
file12,A3519_entry_00065_conf_01,-112.565,CC(C)C(=O)N1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1
file15,A4679_entry_00283_conf_01,-112.538,CN(C/C=C/C(=O)C(C)(C)C)Cc1cccc2ccccc12
file15,A4452_entry_00056_conf_01,-112.522,O[C@@](CNCc1ccc(F)cc1)(Cn1cncn1)c1ccc(F)cc1F
file6,A1846_entry_00276_conf_01,-112.486,CC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@H](Cn1ccnc1)N1CCOCC1
file15,A4489_entry_00093_conf_01,-112.459,O[C@](CNCCc1cnc[nH]1)(Cn1cncn1)c1ccc(F)cc1F
file11,A3278_entry_00138_conf_01,-112.45,CCCCc1ccc(C(=O)OC[C@H](COC(=O)C)OC(=O)C)cc1
file5,A1565_entry_00309_conf_01,-112.374,c1ccc(CN2C[C@H](c3ccccc3)N(Cc3ccccc3)C2)cc1
file3,A715_entry_00087_conf_01,-112.363,OCc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
file11,A3335_entry_00195_conf_01,-112.345,Clc1ccc(CC[C@H](Cn2ccnc2)Sc2cccnc2)cc1
file1,A271_entry_00271_conf_01,-112.344,Cc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2)cc1
file15,A4531_entry_00135_conf_01,-112.334,CC(C)N(Cc1nccn1C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F)C(C)C
file15,A4708_entry_00312_conf_01,-112.303,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12
file11,A3349_entry_00209_conf_01,-112.276,COc1cccc(OC)c1O[C@@H](CCc1ccc(Cl)cc1)Cn1ccnc1
file11,A3360_entry_00220_conf_01,-112.271,Cc1ccccc1O[C@@H](CCc1ccc(Cl)cc1)Cn1ccnc1
file15,A4492_entry_00096_conf_01,-112.24,O[C@](CNCCn1ccnc1)(Cn1cncn1)c1ccc(F)cc1F
file10,A3069_entry_00243_conf_01,-112.234,Clc1ccc([C@H](Cn2ccnc2)OCCCOc2ccccc2)cc1
file14,A4288_entry_00206_conf_01,-112.222,Cc1ccc(CCO[C@H](COC(=O)N)OC[C@@H](O)COc2ccc(Cl)cc2)cc1
file15,A4521_entry_00125_conf_01,-112.202,O[C@](CN1CCN(Cc2nccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F
