Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
5.6800003,0.2131175,0.2119361
5.6900001,0.2217426,0.1991294
5.7000003,0.2176926,0.2222931
5.71,0.2160156,0.2207808
5.7200003,0.2194675,0.2146813
5.7300005,0.2185161,0.2096483
5.7400002,0.213241,0.2148312
5.7500005,0.2242945,0.2171256
5.7600002,0.2204739,0.2291499
5.7700005,0.2149568,0.2256084
5.7800002,0.2061335,0.219201
5.7900004,0.2135995,0.220879
5.8000002,0.2211153,0.2148037
5.8100004,0.2116312,0.2163013
5.8200002,0.2185861,0.212717
5.8300004,0.2142185,0.2056289
5.8400002,0.2251867,0.2018317
5.8500004,0.2083451,0.2139496
5.8600001,0.2163813,0.2148377
5.8700004,0.2077157,0.2087539
5.8800001,0.221862,0.2040344
5.8900003,0.2219317,0.2022404
5.9000001,0.2201006,0.2087163
5.9100003,0.2201299,0.204117
5.9200001,0.2175117,0.201368
5.9300003,0.2112043,0.1968869
5.9400001,0.2147275,0.1975251
5.9500003,0.2211492,0.2067264
5.9600005,0.2217853,0.2066276
5.9700003,0.2139386,0.2047144
5.9800005,0.2132699,0.1975985
5.9900002,0.2345371,0.2019643
6.0000005,0.2275156,0.2016992
6.0100002,0.2226069,0.1938006
6.0200005,0.2211322,0.2020319
6.0300002,0.2215653,0.2145383
6.0400004,0.2221401,0.1969375
6.0500002,0.2428474,0.2061934
6.0600004,0.2358046,0.2003059
6.0700002,0.2436321,0.2103239
6.0800004,0.2320405,0.1997623
6.0900002,0.2192773,0.1996303
6.1000004,0.2320957,0.2030032
6.1100001,0.2410067,0.2121156
6.1200004,0.2347072,0.2061714
6.1300001,0.2307313,0.2027621
6.1400003,0.231661,0.2070606
6.1500001,0.2359469,0.2182072
6.1600003,0.2377734,0.2115036
6.1700001,0.2344649,0.2160671
6.1800003,0.2356281,0.2093282
6.1900001,0.2446307,0.2137947
6.2000003,0.2351987,0.2028834
6.2100005,0.2354048,0.2100521
6.2200003,0.2296395,0.2198213
6.2300005,0.2281197,0.2253327
6.2400002,0.2281064,0.2236011
6.2500005,0.2208524,0.2222551
6.2600002,0.2263493,0.2182661
6.2700005,0.2190611,0.2116925
6.2800002,0.228219,0.2078388
6.2900004,0.2272091,0.2352748
6.3000002,0.2298955,0.2320462
6.3100004,0.2385192,0.2249341
6.3200002,0.2387785,0.225368
6.3300004,0.2439754,0.2089439
6.3400002,0.2222497,0.2219555
6.3500004,0.2294517,0.2162975
6.3600001,0.2206101,0.217557
6.3700004,0.2135743,0.2199426
6.3800001,0.218733,0.2218701
6.3900003,0.2290355,0.2079591
6.4000001,0.221523,0.2082427
6.4100003,0.2249335,0.2121496
6.4200001,0.233404,0.2082493
6.4300003,0.223136,0.205603
6.4400005,0.2196347,0.2102996
6.4500003,0.2247657,0.2194304
6.4600005,0.2234201,0.2158499
6.4700003,0.2166331,0.2190715
6.4800005,0.2198656,0.2194264
6.4900002,0.221761,0.2314605
6.5000005,0.2347026,0.2270124
6.5100002,0.2257905,0.2316146
6.5200005,0.2297665,0.2256606
6.5300002,0.2254262,0.2377158
6.5400004,0.2398136,0.2437084
6.5500002,0.2353597,0.2376499
6.5600004,0.2255715,0.2472098
6.5700002,0.2330054,0.2405413
6.5800004,0.233858,0.2263106
6.5900002,0.228523,0.2103194
6.6000004,0.2372619,0.2000371
6.6100001,0.2342856,0.2171147
6.6200004,0.2494066,0.2168698
6.6300001,0.2497807,0.2272007
6.6400003,0.2498024,0.2196719
6.6500001,0.2368852,0.2293008
6.6600003,0.2195459,0.2330272
6.6700006,0.2155573,0.2384656
6.6800003,0.2267292,0.2428426
6.6900005,0.2237126,0.2339507
6.7000003,0.2235299,0.2412296
6.7100005,0.2245624,0.225585
6.7200003,0.2318048,0.236803
6.7300005,0.2208005,0.2317531
6.7400002,0.2203668,0.2283316
6.7500005,0.2227183,0.2187738
6.7600002,0.2222079,0.2172604
6.7700005,0.2172323,0.2203447
6.7800002,0.2248249,0.232778
6.7900004,0.2159036,0.2303465
6.8000002,0.2288653,0.2331947
6.8100004,0.2205403,0.2224427
6.8200002,0.214482,0.2260811
6.8300004,0.2240361,0.2205493
6.8400002,0.2221614,0.2176505
6.8500004,0.2100107,0.2150941
6.8600001,0.2104422,0.2226198
6.8700004,0.2184884,0.2225269
6.8800001,0.2217501,0.2155446
6.8900003,0.2125482,0.2098607
6.9000001,0.2356061,0.2193476
6.9100003,0.2282037,0.2228121
6.9200006,0.2304789,0.2183965
6.9300003,0.2286274,0.218735
6.9400005,0.2193855,0.2171911
6.9500003,0.2124451,0.2182002
6.9600005,0.2129993,0.2175581
6.9700003,0.2213928,0.2169759
6.9800005,0.2199503,0.2248418
6.9900002,0.2183184,0.2247436
7.0000005,0.2046521,0.2178178
7.0100002,0.2142321,0.221034
7.0200005,0.2051946,0.2221735
7.0300002,0.2183336,0.2107392
7.0400004,0.223635,0.219034
7.0500002,0.2187223,0.2088369
7.0600004,0.2275268,0.207568
7.0700002,0.2249025,0.2035376
7.0800004,0.2278176,0.2161989
7.0900002,0.2305812,0.2163639
7.1000004,0.2373916,0.2002427
7.1100001,0.2353184,0.2142669
7.1200004,0.2239606,0.2223307
7.1300001,0.2243078,0.2275585
7.1400003,0.2222426,0.2168753
7.1500006,0.2387113,0.242297
7.1600003,0.2347066,0.2170938
7.1700006,0.230203,0.2271541
7.1800003,0.2227456,0.232914
7.1900005,0.2347128,0.2408392
7.2000003,0.2331336,0.2271408
7.2100005,0.2274066,0.2270326
7.2200003,0.2285593,0.2460078
7.2300005,0.2276016,0.2307863
7.2400002,0.2317989,0.2364439
7.2500005,0.2209223,0.2225831
7.2600002,0.2265278,0.2240912
7.2700005,0.2283547,0.2259653
7.2800002,0.2238703,0.2266124
7.2900004,0.2291137,0.2349682
7.3000002,0.2252416,0.2246618
7.3100004,0.2295493,0.2166417
7.3200002,0.2259934,0.2078018
7.3300004,0.2118927,0.2127523
7.3400002,0.2316558,0.2162503
7.3500004,0.2349179,0.2140571
7.3600001,0.2312361,0.2061481
7.3700004,0.2260584,0.2185233
7.3800001,0.2180008,0.2148126
7.3900003,0.2184172,0.2176103
7.4000006,0.2229969,0.2214681
7.4100003,0.2236671,0.2267855
7.4200006,0.2155859,0.2298083
7.4300003,0.2138132,0.2289783
7.4400005,0.2145624,0.2259076
7.4500003,0.2205319,0.2315636
7.4600005,0.2206734,0.2229058
7.4700003,0.2117372,0.2236679
7.4800005,0.2180942,0.2263252
7.4900002,0.2346213,0.2376907
7.5000005,0.227968,0.2395355
7.5100002,0.2350509,0.2392791
7.5200005,0.2264517,0.2541984
7.5300002,0.221109,0.2526702
7.5400004,0.2234473,0.2480936
7.5500002,0.2386926,0.2529095
7.5600004,0.2302188,0.2557953
7.5700002,0.238828,0.2541462
7.5800004,0.2391035,0.2515132
7.5900002,0.231615,0.2465239
7.6000004,0.2355603,0.2442181
7.6100001,0.2291721,0.2408491
7.6200004,0.2365562,0.2403897
7.6300006,0.224136,0.2424017
7.6400003,0.2342325,0.23448
7.6500006,0.2383734,0.2333086
7.6600003,0.2288627,0.2324687
7.6700006,0.2339078,0.236229
7.6800003,0.2222057,0.2391857
7.6900005,0.2285582,0.2309721
7.7000003,0.228958,0.2114373
7.7100005,0.2413649,0.2206925
7.7200003,0.2388702,0.2167407
7.7300005,0.2350291,0.2222538
7.7400002,0.2436497,0.2272147
7.7500005,0.2419569,0.2285743
7.7600002,0.2294668,0.2275024
7.7700005,0.235218,0.2164332
7.7800002,0.2288416,0.22196
7.7900004,0.2310346,0.2139505
7.8000002,0.2217053,0.2153415
7.8100004,0.2148794,0.2245072
7.8200002,0.2306781,0.2171596
7.8300004,0.2188607,0.2084418
7.8400002,0.2275309,0.2096503
7.8500004,0.2241375,0.2113773
7.8600006,0.2342841,0.2141394
7.8700004,0.22962,0.2135261
7.8800006,0.2322446,0.215249
7.8900003,0.2374608,0.2135718
7.9000006,0.2397912,0.2220924
7.9100003,0.2329937,0.223974
7.9200006,0.2364064,0.2121964
7.9300003,0.2480732,0.2237688
7.9400005,0.2433633,0.2087322
