GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1226,1593.77,3878.32,4609.74,442.24,251.51,-96.14,-3447.67,-28054.07,1501.02,17873.98,-5362.33,182.57,-1447.31,-5179.76,-6627.07
1231,1579.88,3898.18,4579.82,428.7,229.3,-109.82,-3377.28,-28123.28,1526.1,17904.8,-5350.31,186.76,-1463.61,-5163.56,-6627.17
1236,1634.93,3858.9,4577.64,435.23,251.91,-78.1,-3453.9,-28124.42,1483.2,17939.77,-5369.84,183.38,-1474.83,-5186.47,-6661.3
1241,1626.62,3910.78,4547.23,436.04,251.98,-103.73,-3420.62,-28164.23,1505.62,17913.2,-5303.68,185.89,-1497.11,-5117.78,-6614.9
1246,1560.88,3936.29,4613.73,457.3,243.31,-76.28,-3435.96,-28031.16,1507.32,17901.94,-5399.57,186.18,-1322.62,-5213.39,-6536.02
1251,1560.8,3984.7,4588.87,448.96,240.09,-109.03,-3368.23,-28067.21,1500.61,17906.05,-5391.59,191.63,-1314.4,-5199.96,-6514.35
1256,1623.18,3871.09,4599.34,448.41,253.87,-81.74,-3432.22,-28109.17,1531.8,17971.77,-5403.64,186.58,-1323.68,-5217.06,-6540.75
1261,1608.65,3948.92,4573.62,452.97,235.56,-64.55,-3413.62,-28128.14,1503.14,17845.55,-5352.57,189.69,-1437.9,-5162.87,-6600.77
1266,1566.05,3893.64,4611.03,462.19,228.76,-47.96,-3399.19,-28279.26,1521.2,17844.74,-5204.56,187.82,-1598.81,-5016.74,-6615.54
1271,1630.26,3868.04,4602.66,450.19,238.15,-56.02,-3361.07,-28195.24,1532.41,17822.84,-5250.63,189.45,-1467.78,-5061.18,-6528.96
1276,1610.91,3973.02,4553.54,460.04,241.38,-71.45,-3389.16,-28162.72,1502.98,17872.79,-5340.09,187.53,-1408.66,-5152.55,-6561.21
1281,1621.03,3906.22,4522.72,430.89,242.85,-67.66,-3410.16,-28038.62,1496.82,17985.47,-5490.4,187.86,-1310.45,-5302.53,-6612.98
1286,1614.11,3907.87,4602.86,452.12,236.29,-62.29,-3415.34,-27982.42,1508.45,17834.44,-5437.72,187.1,-1303.92,-5250.63,-6554.55
1291,1603.36,3947.7,4580.26,460.51,225.48,-57.45,-3407.1,-28024.55,1511.56,17861.79,-5403.52,187.24,-1298.44,-5216.29,-6514.72
1296,1596.71,4046.89,4569.17,446.45,234.77,-67.64,-3365.61,-27930.63,1517.85,17706.48,-5415.68,190.31,-1245.55,-5225.37,-6470.92
1301,1600.48,3916.68,4598.02,441.13,228.06,-70.04,-3403.41,-28115.38,1552.32,17858.82,-5337.34,188.26,-1393.32,-5149.08,-6542.4
1306,1640.01,3883.98,4628.93,466.95,244.4,-67.58,-3378.15,-28046.6,1507.54,17909.29,-5439.36,188.62,-1211.24,-5250.74,-6461.98
1311,1615.9,3922.11,4583.21,449.22,252.15,-52.24,-3456.8,-28014.9,1480.56,17947.16,-5444.76,186.68,-1273.63,-5258.07,-6531.71
1316,1627.8,3947.79,4537.78,460.5,243.08,-71.19,-3412.56,-27991.89,1492.72,17949.85,-5475.01,188.39,-1216.11,-5286.62,-6502.73
1321,1616.71,3844.49,4552.24,453.93,222.13,-51.87,-3417.04,-28049.04,1488.27,17931.03,-5415.15,186.75,-1409.17,-5228.4,-6637.56
1326,1634.53,3939.34,4563.53,439.06,239.07,-65.22,-3401.76,-28075.46,1539.73,17918.58,-5421.21,190.65,-1268.61,-5230.56,-6499.16
